Location,Price,Rooms,Bathrooms,Car Parks,Furnishing,SizeType,SizeValue,Property Type Supergroup
Bangsar,3800000.0,2.0,5.0,4.0,Partly Furnished,Built-up,4067.0,Bungalow
Bangsar South,350000.0,3.0,1.0,1.0,Unfurnished,Built-up,495.0,Apartment
KLCC,3600000.0,2.0,5.0,2.0,Unknown,Built-up,3897.0,Serviced Residence
Taman Tun Dr Ismail,1790000.0,3.0,3.0,0.0,Partly Furnished,Land area,0.0,Terrace/Link House
Segambut,635000.0,2.0,4.0,2.0,Partly Furnished,Built-up,1643.0,Condominium
Taman Desa,530000.0,3.0,2.0,0.0,Unfurnished,Built-up,715.0,Serviced Residence
KLCC,5070000.0,2.0,4.0,3.0,Partly Furnished,Built-up,2142.0,Serviced Residence
KL City,1207000.0,3.0,1.0,1.0,Partly Furnished,Built-up,685.0,Serviced Residence
KL City,1177000.0,3.0,1.0,1.0,Partly Furnished,Built-up,717.0,Serviced Residence
Taman Tun Dr Ismail,3000000.0,3.0,2.0,0.0,Partly Furnished,Land area,0.0,Terrace/Link House
Wangsa Maju,700000.0,3.0,2.0,2.0,Partly Furnished,Built-up,1152.0,Condominium
Ampang Hilir,3710000.0,2.0,5.0,0.0,Partly Furnished,Built-up,3369.0,Condominium
Mont Kiara,1900000.0,2.0,4.0,0.0,Fully Furnished,Built-up,2411.0,Condominium
Mont Kiara,3785400.0,3.0,5.0,3.0,Partly Furnished,Built-up,3907.0,Condominium
KLCC,1300000.0,3.0,2.0,2.0,Fully Furnished,Built-up,871.0,Condominium
Sentul,960000.0,2.0,4.0,2.0,Unfurnished,Built-up,1488.0,Condominium
KL City,490000.0,3.0,2.0,2.0,Unfurnished,Built-up,1065.0,Condominium
Mont Kiara,4200000.0,3.0,5.0,3.0,Partly Furnished,Built-up,3709.0,Condominium
KLCC,1450000.0,3.0,1.0,1.0,Fully Furnished,Built-up,1050.0,Serviced Residence
Desa ParkCity,2380000.0,2.0,4.0,3.0,Fully Furnished,Built-up,2454.0,Condominium
Desa ParkCity,1350000.0,2.0,3.0,2.0,Unfurnished,Built-up,1389.0,Condominium
KLCC,1800000.0,2.0,5.0,0.0,Unfurnished,Built-up,2315.0,Condominium
Bukit Jalil,1210000.0,3.0,6.0,4.0,Partly Furnished,Built-up,3400.0,Terrace/Link House
Taman Tun Dr Ismail,4995000.0,3.0,7.0,6.0,Partly Furnished,Land area,8113.0,Bungalow
Mont Kiara,1900000.0,2.0,4.0,2.0,Partly Furnished,Built-up,1830.0,Condominium
KLCC,2700000.0,3.0,2.0,2.0,Partly Furnished,Built-up,1195.0,Serviced Residence
KLCC,6300000.0,2.0,4.0,2.0,Partly Furnished,Built-up,2195.0,Serviced Residence
KLCC,1900000.0,2.0,2.0,1.0,Fully Furnished,Built-up,915.0,Condominium
KLCC,3000000.0,2.0,5.0,3.0,Partly Furnished,Built-up,3218.0,Condominium
Setapak,240000.0,3.0,2.0,1.0,Unfurnished,Built-up,850.0,Condominium
KLCC,1300000.0,3.0,2.0,0.0,Fully Furnished,Built-up,871.0,Condominium
KLCC,1000000.0,3.0,1.0,1.0,Partly Furnished,Built-up,751.0,Condominium
KLCC,1000000.0,3.0,1.0,1.0,Partly Furnished,Built-up,751.0,Condominium
KLCC,2000000.0,2.0,2.0,1.0,Fully Furnished,Built-up,1350.0,Serviced Residence
