Location,Price,Rooms,Bathrooms,Car Parks,Furnishing,SizeType,SizeValue,Property Type Supergroup
45,3600000.0,2.0,5.0,2.0,1,2,3897.0,7
45,1238000.0,3.0,2.0,1.0,1,1,736.0,3
45,1139000.0,3.0,1.0,1.0,1,1,751.0,3
45,2930000.0,3.0,2.0,2.0,0,1,1114.0,7
29,1580000.0,3.0,3.0,0.0,1,1,1900.0,8
27,1620000.0,1.0,2.0,1.0,1,1,1194.0,7
29,1300000.0,2.0,3.0,2.0,1,1,1367.0,3
25,8000000.0,3.0,7.0,6.0,1,2,10600.0,1
27,6500000.0,3.0,4.0,6.0,1,2,7880.0,1
29,2750000.0,2.0,4.0,0.0,1,2,0.0,8
29,2050000.0,2.0,4.0,0.0,1,2,0.0,8
29,1200000.0,3.0,2.0,0.0,1,1,1400.0,9
9,1600000.0,3.0,2.0,2.0,1,1,2400.0,9
29,1730000.0,2.0,3.0,2.0,0,1,1690.0,3
29,1500000.0,2.0,2.0,2.0,0,1,1346.0,3
29,2800000.0,2.0,4.0,0.0,1,2,1302.0,8
29,3280000.0,2.0,4.0,0.0,1,2,3200.0,1
29,1500000.0,2.0,3.0,2.0,1,1,1400.0,3
29,5500000.0,4.0,8.0,0.0,1,2,2805.0,8
29,1180000.0,2.0,3.0,2.0,1,1,1507.0,3
29,2300000.0,3.0,3.0,0.0,1,2,1826.0,8
29,1990000.0,2.0,3.0,0.0,1,2,0.0,8
29,1950000.0,2.0,3.0,0.0,0,1,2300.0,8
45,2950000.0,2.0,4.0,2.0,1,1,2674.0,3
10,490000.0,3.0,1.0,1.0,0,1,520.0,7
45,3090000.0,3.0,2.0,2.0,1,1,1572.0,7
29,3600000.0,3.0,6.0,0.0,1,2,0.0,6
45,1230000.0,2.0,4.0,2.0,0,1,1378.0,7
37,350000.0,3.0,2.0,1.0,1,1,950.0,7
45,1230000.0,3.0,1.0,1.0,0,1,850.0,7
29,1250000.0,2.0,2.0,2.0,1,1,1303.0,3
29,2500000.0,2.0,5.0,3.0,1,2,0.0,8
29,1100000.0,2.0,3.0,2.0,2,1,1378.0,3
29,1980000.0,2.0,4.0,3.0,1,2,0.0,8
9,1300000.0,3.0,2.0,2.0,1,2,0.0,9
87,2800000.0,2.0,6.0,4.0,1,2,5628.0,1
90,1050000.0,3.0,2.0,2.0,2,2,0.0,8
45,3600000.0,2.0,5.0,2.0,1,1,3897.0,7
3,5900000.0,2.0,5.0,3.0,2,1,4000.0,3
45,3900000.0,3.0,2.0,2.0,1,1,1636.0,7
45,1300000.0,3.0,1.0,1.0,1,1,925.0,7
45,1240000.0,3.0,1.0,0.0,0,1,850.0,7
16,438000.0,3.0,2.0,1.0,1,1,1018.0,0
37,530000.0,2.0,2.0,1.0,1,1,900.0,7
73,590000.0,3.0,2.0,2.0,1,1,1196.0,3
45,1000000.0,3.0,1.0,1.0,1,1,751.0,3
45,1900000.0,2.0,2.0,1.0,1,1,915.0,3
45,2400000.0,3.0,2.0,1.0,0,1,1006.0,7
72,380000.0,2.0,2.0,2.0,2,1,950.0,3
45,1198000.0,1.0,1.0,1.0,0,1,764.0,7
45,1000000.0,3.0,1.0,1.0,1,1,657.0,3
9,12000000.0,4.0,6.0,4.0,1,2,11500.0,1
90,1280000.0,3.0,3.0,2.0,1,2,0.0,8
45,1780000.0,3.0,1.0,1.0,0,1,728.0,7
56,5900000.0,4.0,8.0,0.0,1,2,12722.0,1
45,2300000.0,3.0,1.0,1.0,1,1,1023.0,7
79,1340000.0,2.0,6.0,4.0,1,2,0.0,8
79,1600000.0,2.0,6.0,4.0,1,2,0.0,8
45,1000000.0,3.0,1.0,1.0,1,1,751.0,3
45,800000.0,2.0,3.0,1.0,0,1,1055.0,7
69,320000.0,3.0,2.0,2.0,2,2,0.0,7
79,1340000.0,2.0,6.0,0.0,2,1,3216.0,8
45,3600000.0,2.0,5.0,2.0,1,1,3897.0,7
14,6000000.0,2.0,5.0,2.0,1,1,4157.0,7
90,1090000.0,3.0,2.0,2.0,1,2,0.0,8
45,1250000.0,2.0,4.0,2.0,0,1,1378.0,7
45,2300000.0,3.0,2.0,1.0,1,1,1023.0,7
90,1330000.0,2.0,3.0,2.0,1,2,0.0,8
16,900000.0,2.0,3.0,3.0,1,1,1513.0,3
55,1850000.0,2.0,4.0,2.0,1,1,1830.0,3
45,2400000.0,3.0,2.0,1.0,1,1,1006.0,7
98,1613300.0,2.0,5.0,3.0,1,1,2336.0,3
45,2440000.0,3.0,2.0,1.0,0,1,1023.0,7
27,5000000.0,2.0,3.0,4.0,1,2,7700.0,1
77,7300000.0,3.0,6.0,6.0,1,2,7300.0,1
45,3200000.0,3.0,2.0,1.0,2,1,1572.0,7
55,1850000.0,2.0,4.0,2.0,1,1,1830.0,3
44,783990.0,3.0,1.0,1.0,1,1,650.0,7
39,495000.0,3.0,1.0,0.0,0,1,560.0,7
22,569200.0,1.0,2.0,2.0,2,1,888.0,7
23,439600.0,3.0,2.0,2.0,1,2,0.0,3
90,1150000.0,3.0,2.0,1.0,1,1,1560.0,3
16,425000.0,3.0,2.0,1.0,1,2,1087.0,3
9,10000000.0,3.0,7.0,5.0,1,1,6913.0,3
55,1800000.0,2.0,4.0,2.0,1,1,2243.0,3
84,1480000.0,2.0,3.0,0.0,2,2,0.0,8
23,439600.0,3.0,2.0,2.0,1,2,0.0,3
9,6670000.0,2.0,6.0,0.0,1,1,4771.0,3
38,580000.0,3.0,2.0,1.0,1,1,1590.0,3
55,618000.0,3.0,1.0,1.0,0,2,650.0,7
55,1518000.0,2.0,3.0,3.0,1,1,2648.0,3
55,2220000.0,2.0,4.0,3.0,1,1,2973.0,3
45,3600000.0,3.0,4.0,2.0,0,1,3897.0,7
